trip_number,time_in,time_out,town_to,town_from
7042,2/13/2021,9/4/2021,Três Rios,Olovyannaya
7857,8/29/2021,5/22/2021,Xom Tan Long,‘Aşīrah ash Shamālīyah
0675,9/29/2021,6/24/2021,Paritjunus,Plumtree
8884,9/20/2021,8/15/2021,Lingqian,Montfort-sur-Meu
5501,1/28/2021,12/18/2020,Changchuan,El Cocuy
2509,2/12/2021,9/24/2021,Batanamang,Pulangbato
1214,10/23/2020,9/12/2021,Baculongan,Xinchang
1349,3/29/2021,6/22/2021,Xishaping,Trinidad
2754,1/26/2021,4/8/2021,Yandian,Rudna
0909,5/28/2021,3/13/2021,Vila Velha de Ródão,Mstsislaw
7917,12/31/2020,3/20/2021,Zhendong,Lameira
0211,11/26/2020,9/6/2021,São Joaquim da Barra,Bastia
7694,10/17/2020,9/19/2021,Liborina,Pedro Leopoldo
1625,5/29/2021,11/17/2020,União da Vitória,Ljungsbro
7462,3/23/2021,5/9/2021,Bahorí,Chao
1265,6/27/2021,10/9/2021,Kasreman,Jelat
0269,6/15/2021,11/4/2020,Lurut,Petrivka
2094,4/28/2021,1/30/2021,Leitões,Tepusteca
6829,3/2/2021,10/21/2020,Rahayu,Yinghua
2140,3/11/2021,4/10/2021,Haylaastay,Cutral-Có
7247,7/7/2021,4/16/2021,Jiuhe,Nova Odessa
0214,10/25/2020,1/2/2021,Nossebro,Kotovo
5842,12/19/2020,9/26/2021,Nadi,Padilla
4510,8/5/2021,12/19/2020,Castelo,Auxerre
5931,11/7/2020,8/10/2021,Puricay,Kore
5474,11/17/2020,6/6/2021,Novo Selo,Caminauit
3105,8/30/2021,8/18/2021,Pandat,Shimada
7196,5/21/2021,7/14/2021,Dunyāpur,Bolondrón
4639,11/1/2020,6/12/2021,Sumberkindagan,Nový Malín
9834,4/19/2021,11/5/2020,Tomaszów Mazowiecki,Timiryazevskoye
3828,11/23/2020,3/24/2021,Lanos,Kiambu
9779,6/22/2021,1/9/2021,Maqian,Shkotovo
2096,3/15/2021,4/11/2021,Kashiwa,San Agustín Acasaguastlán
